fold,model,group,rules,include_overtime,feature,gain
2,xgboost,B,v2,True,vacation,0.029167545959353447
2,xgboost,B,v2,True,business_trip,0.01326772291213274
2,xgboost,B,v2,True,work_from_home,0.0
2,xgboost,B,v2,True,overtime,0.019694073125720024
2,xgboost,B,v2,True,weekday_0,0.4208012521266937
2,xgboost,B,v2,True,weekday_1,0.00251965643838048
2,xgboost,B,v2,True,weekday_2,0.01633954793214798
2,xgboost,B,v2,True,weekday_3,0.03967232629656792
2,xgboost,B,v2,True,weekday_4,0.4520065486431122
2,xgboost,B,v2,True,weekday_5,0.0
2,xgboost,B,v2,True,weekday_6,0.0
2,xgboost,C,v1,True,employees,0.0058189984411001205
2,xgboost,C,v1,True,vacation,0.024004442617297173
2,xgboost,C,v1,True,business_trip,0.011623184196650982
2,xgboost,C,v1,True,work_from_home,0.0
2,xgboost,C,v1,True,overtime,0.018267331644892693
2,xgboost,C,v1,True,weekday_0,0.41179966926574707
2,xgboost,C,v1,True,weekday_1,0.0021578017622232437
2,xgboost,C,v1,True,weekday_2,0.016455624252557755
2,xgboost,C,v1,True,weekday_3,0.03002682514488697
2,xgboost,C,v1,True,weekday_4,0.46513140201568604
2,xgboost,C,v1,True,weekday_5,0.0
2,xgboost,C,v1,True,weekday_6,0.0
2,xgboost,C,v1,True,menu_meat,0.004827067721635103
